nElements,Radix-Insert,Radix-Search
50000,70.3313,17.782
100000,50.4667,18.7557
150000,44.8027,19.9093
200000,43.1303,19.8678
250000,42.5921,19.0492
300000,42.0613,19.9454
350000,40.8052,19.554
400000,40.6081,19.6277
450000,40.5387,19.4033
500000,40.3759,19.7618
550000,40.2302,19.6592
600000,39.3923,19.7307
650000,39.5485,19.8168
700000,39.1512,19.8061
750000,39.1362,19.7308
800000,38.9966,20.0102
850000,39.3239,20.1087
900000,38.475,19.1283
950000,38.134,19.354
1000000,38.0173,19.4756
1050000,37.8967,19.369
